,Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total
214,2020,3,Tierra Del Fuego,12854,26491,0,0,310,39655
215,2020,3,Tucumán,149605,11752,59949,1,762,223876
216,2020,2,Buenos Aires,661272,2244277,723072,91,57,3777546
217,2020,2,Capital Federal,178896,1106133,39482,3,29,1357821
218,2020,2,Catamarca,26968,3641,14878,261,2,47976
219,2020,2,Chaco,46816,56017,17266,6,1,128132
220,2020,2,Chubut,45761,38279,1324,17,5,108656
221,2020,2,Córdoba,282858,415007,85818,44,8,836468
222,2020,2,Corrientes,51248,55536,3144,3,5,118866
223,2020,2,Entre Ríos,89391,99423,13954,20,11,234113
224,2020,2,Formosa,21805,9353,1882,14,169,47932
225,2020,2,Jujuy,32705,38938,5057,952,16,94316
226,2020,2,La Pampa,8551,54422,14232,11,1,89809
227,2020,2,La Rioja,16885,34984,1,250,35,52155
228,2020,2,Mendoza,91904,62941,29613,15,802,201184
229,2020,2,Misiones,50792,74497,2579,3,9,140340
230,2020,2,Neuquén,30256,67990,11037,15,1,126172
231,2020,2,Río Negro,49756,39650,10382,11,18,129486
232,2020,2,Salta,59502,81740,24289,5,7,177762
233,2020,2,San Juan,40092,8275,5509,7,8,69777
234,2020,2,San Luis,8401,8357,6,60,36,113952
235,2020,2,Santa Cruz,12845,16044,1027,6,2,38869
236,2020,2,Santa Fe,299974,381679,46698,30,19,777932
237,2020,2,Santiago Del Estero,25917,72074,355,3,4,105447
238,2020,2,Tierra Del Fuego,12854,26025,0,0,310,39189
239,2020,2,Tucumán,150084,9833,55120,1,762,217156
240,2020,1,Buenos Aires,673237,2210349,720688,85,18,3708051
241,2020,1,Capital Federal,184494,1097635,38898,3,28,1353494
242,2020,1,Catamarca,21945,3146,12056,261,2,39635
243,2020,1,Chaco,46356,54144,11958,6,1,120277
244,2020,1,Chubut,45763,27287,1324,16,5,96738
245,2020,1,Córdoba,286168,406109,68512,41,8,811099
246,2020,1,Corrientes,51126,53231,2172,2,5,113970
247,2020,1,Entre Ríos,90368,95434,13245,18,14,231846
248,2020,1,Formosa,21068,8887,1800,14,169,46434
249,2020,1,Jujuy,32066,38938,3078,942,16,91665
250,2020,1,La Pampa,8553,53755,13821,11,1,89226
251,2020,1,La Rioja,13076,34984,0,251,29,48340
252,2020,1,Mendoza,91955,50251,28059,12,722,183452
253,2020,1,Misiones,51458,69452,1220,460,10,133552
254,2020,1,Neuquén,29305,65951,11031,14,729,121727
255,2020,1,Río Negro,47756,38479,10381,11,18,126200
256,2020,1,Salta,60426,75593,23025,4,7,170381
257,2020,1,San Juan,40092,6448,5508,7,5,64231
258,2020,1,San Luis,8301,7612,5,58,36,110552
259,2020,1,Santa Cruz,12845,15766,1026,6,2,38822
260,2020,1,Santa Fe,302366,383673,35123,30,19,771118
261,2020,1,Santiago Del Estero,24695,70424,200,2,4,102755
262,2020,1,Tierra Del Fuego,12854,25632,0,0,308,38794
