,index,Año,Trimestre,Provincia,Accesos por cada 100 hogares
280,280,2019,4,Salta,50.35
281,281,2019,4,San Juan,32.85
282,282,2019,4,San Luis,74.92
283,283,2019,4,Santa Cruz,36.71
284,284,2019,4,Santa Fe,69.48
285,285,2019,4,Santiago Del Estero,42.92
286,286,2019,4,Tierra Del Fuego,79.7
287,287,2019,4,Tucumán,47.65
288,288,2019,3,Buenos Aires,69.36
289,289,2019,3,Capital Federal,112.65
290,290,2019,3,Catamarca,30.88
291,291,2019,3,Chaco,35.85
292,292,2019,3,Chubut,47.57
293,293,2019,3,Córdoba,68.59
294,294,2019,3,Corrientes,38.49
295,295,2019,3,Entre Ríos,57.9
296,296,2019,3,Formosa,30.11
297,297,2019,3,Jujuy,44.32
298,298,2019,3,La Pampa,77.45
299,299,2019,3,La Rioja,47.94
300,300,2019,3,Mendoza,40.74
301,301,2019,3,Misiones,39.33
302,302,2019,3,Neuquén,64.14
303,303,2019,3,Río Negro,63.42
304,304,2019,3,Salta,44.48
305,305,2019,3,San Juan,37.06
306,306,2019,3,San Luis,85.23
307,307,2019,3,Santa Cruz,35.63
308,308,2019,3,Santa Fe,68.87
309,309,2019,3,Santiago Del Estero,55.3
310,310,2019,3,Tierra Del Fuego,96.46
311,311,2019,3,Tucumán,39.49
312,312,2019,2,Buenos Aires,67.85
313,313,2019,2,Capital Federal,110.55
314,314,2019,2,Catamarca,32.13
315,315,2019,2,Chaco,34.14
316,316,2019,2,Chubut,46.99
317,317,2019,2,Córdoba,68.07
318,318,2019,2,Corrientes,38.16
319,319,2019,2,Entre Ríos,57.48
320,320,2019,2,Formosa,30.42
321,321,2019,2,Jujuy,44.51
322,322,2019,2,La Pampa,77.08
323,323,2019,2,La Rioja,48.7
324,324,2019,2,Mendoza,40.75
325,325,2019,2,Misiones,39.15
326,326,2019,2,Neuquén,63.08
327,327,2019,2,Río Negro,61.09
328,328,2019,2,Salta,41.89
329,329,2019,2,San Juan,35.6
330,330,2019,2,San Luis,81.79
331,331,2019,2,Santa Cruz,28.85
332,332,2019,2,Santa Fe,67.42
333,333,2019,2,Santiago Del Estero,52.79
334,334,2019,2,Tierra Del Fuego,94.8
335,335,2019,2,Tucumán,40.14
336,336,2019,1,Buenos Aires,66.24
337,337,2019,1,Capital Federal,109.2
338,338,2019,1,Catamarca,32.19
339,339,2019,1,Chaco,32.64
340,340,2019,1,Chubut,43.0
341,341,2019,1,Córdoba,65.52
342,342,2019,1,Corrientes,35.13
343,343,2019,1,Entre Ríos,56.79
344,344,2019,1,Formosa,29.68
345,345,2019,1,Jujuy,46.41
346,346,2019,1,La Pampa,76.35
347,347,2019,1,La Rioja,50.18
348,348,2019,1,Mendoza,37.66
349,349,2019,1,Misiones,36.26
350,350,2019,1,Neuquén,58.88
