,Año,Trimestre,Provincia,Mbps (Media de bajada)
317,2019,2,Córdoba,18
318,2019,2,Corrientes,14
319,2019,2,Entre Ríos,12
320,2019,2,Formosa,11
321,2019,2,Jujuy,12
322,2019,2,La Pampa,5
323,2019,2,La Rioja,8
324,2019,2,Mendoza,6
325,2019,2,Misiones,14
326,2019,2,Neuquén,17
327,2019,2,Río Negro,12
328,2019,2,Salta,13
329,2019,2,San Juan,6
330,2019,2,San Luis,20
331,2019,2,Santa Cruz,6
332,2019,2,Santa Fe,15
333,2019,2,Santiago Del Estero,7
334,2019,2,Tierra Del Fuego,6
335,2019,2,Tucumán,19
336,2019,1,Buenos Aires,20
337,2019,1,Capital Federal,25
338,2019,1,Catamarca,8
339,2019,1,Chaco,13
340,2019,1,Chubut,6
341,2019,1,Córdoba,16
342,2019,1,Corrientes,12
343,2019,1,Entre Ríos,11
344,2019,1,Formosa,10
345,2019,1,Jujuy,9
346,2019,1,La Pampa,5
347,2019,1,La Rioja,7
348,2019,1,Mendoza,6
349,2019,1,Misiones,13
350,2019,1,Neuquén,16
351,2019,1,Río Negro,10
352,2019,1,Salta,10
353,2019,1,San Juan,6
354,2019,1,San Luis,9
355,2019,1,Santa Cruz,6
356,2019,1,Santa Fe,13
357,2019,1,Santiago Del Estero,6
358,2019,1,Tierra Del Fuego,6
359,2019,1,Tucumán,17
360,2018,4,Buenos Aires,17
361,2018,4,Capital Federal,23
362,2018,4,Catamarca,8
363,2018,4,Chaco,13
364,2018,4,Chubut,6
365,2018,4,Córdoba,16
366,2018,4,Corrientes,12
367,2018,4,Entre Ríos,11
368,2018,4,Formosa,10
369,2018,4,Jujuy,9
370,2018,4,La Pampa,4
371,2018,4,La Rioja,7
372,2018,4,Mendoza,6
373,2018,4,Misiones,12
374,2018,4,Neuquén,16
375,2018,4,Río Negro,10
376,2018,4,Salta,10
377,2018,4,San Juan,6
378,2018,4,San Luis,9
379,2018,4,Santa Cruz,5
380,2018,4,Santa Fe,13
381,2018,4,Santiago Del Estero,6
382,2018,4,Tierra Del Fuego,7
383,2018,4,Tucumán,17
384,2018,3,Buenos Aires,17
385,2018,3,Capital Federal,22
386,2018,3,Catamarca,8
387,2018,3,Chaco,13
388,2018,3,Chubut,6
389,2018,3,Córdoba,15
390,2018,3,Corrientes,11
391,2018,3,Entre Ríos,11
392,2018,3,Formosa,9
393,2018,3,Jujuy,8
394,2018,3,La Pampa,4
395,2018,3,La Rioja,6
396,2018,3,Mendoza,6
397,2018,3,Misiones,12
398,2018,3,Neuquén,15
399,2018,3,Río Negro,10
400,2018,3,Salta,9
401,2018,3,San Juan,6
402,2018,3,San Luis,9
403,2018,3,Santa Cruz,5
404,2018,3,Santa Fe,12
405,2018,3,Santiago Del Estero,6
406,2018,3,Tierra Del Fuego,6
407,2018,3,Tucumán,15
408,2018,2,Buenos Aires,15
409,2018,2,Capital Federal,19
410,2018,2,Catamarca,8
411,2018,2,Chaco,12
412,2018,2,Chubut,5
413,2018,2,Córdoba,14
414,2018,2,Corrientes,11
415,2018,2,Entre Ríos,10
416,2018,2,Formosa,9
417,2018,2,Jujuy,6
418,2018,2,La Pampa,4
419,2018,2,La Rioja,6
420,2018,2,Mendoza,6
421,2018,2,Misiones,12
422,2018,2,Neuquén,13
423,2018,2,Río Negro,10
424,2018,2,Salta,9
425,2018,2,San Juan,6
426,2018,2,San Luis,6
427,2018,2,Santa Cruz,5
428,2018,2,Santa Fe,12
429,2018,2,Santiago Del Estero,6
