Provincia,Partido,,,Otros,"0,256 mbps",,,"0,512 mbps","0,625 mbps","0,75 mbps",1 mbps,,,2 mbps,"2,2 mbps",,,"3,3 mbps","3,5 mbps",4 mbps,"4,5 mbps",,,"6,4 mbps",7 mbps,,,9 mbps,10 mbps,,12 mbps,13 mbps,14 mbps,,16 mbps,17 mbps,18 mbps,,20 mbps,21 mbps,,23 mbps,24 mbps,25 mbps,,"25,11 mbps","25,5 mbps",26 mbps,,31 mbps,32 mbps,,35 mbps,36 mbps,38 mbps,,40 mbps,41 mbps,45 mbps,46 mbps,49 mbps,50 mbps,,58 mbps,59 mbps,60 mbps,,62 mbps,64 mbps,,66 mbps,70 mbps,75 mbps,,80 mbps,82 mbps,83 mbps,,90 mbps,92 mbps,,100 mbps
BUENOS AIRES,Bahía Blanca,,6056020,2,,,,,,,,,,,,,,,,9,,,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Bahía Blanca,,,,,,,,,2,,,,,,,,,24,,,,,,,,,,2,,,,,,,,5,,,,,,,27,,,,,,,,,,,,,,,,,,767,,,,,,,,,,,,,,,,,,,,602
,,Ingeniero White,6056020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Balcarce,6063010,,,,,,,,,,,,,,,,,,,,329,,,,795,,,,52,,,611,,,28,,3,,,,,150,,,,,25,,,,,,,,,,,,,"7,423",,,,,,,,,,,,,,,,,,,,"3,230"
BUENOS AIRES,Balcarce,Los Pinos,,5,,,,,,,,,,5,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Balcarce,,6063030,,,,,,,,38,,,,,,23,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,,Ramos Otero,6063040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Balcarce,,,24,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Villa Laguna La Brava,6063060,,,,,,,,,,,1,,,,,,,,,16,,,,,,13,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Baradero,,6070010,,,,1,,,,53,,,,,,,,,,,,,,,,,,833,,23,,,,,,,,48,,,,,221,,,,,,,,,,,,,,,,,,"4,229",,,,,,,,,,,,,,,,,,,,"2,176"
BUENOS AIRES,,Irineo Portela,6070020,1,,,,,,,,,,,,,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Baradero,Santa Coloma,6070030,,,,,,,,,,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Baradero,,,,,,,,,,,,,,,,,,,,,,13,,,,,,92,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Benito Juárez,Barker,,1,,,,,,,20,,,,,,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Benito Juárez  (Est. Juárez),6084020,,,,1,,,,,,,,,,,,,,,,,,,,428,,59,,1,,,914,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,,López,6084030,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
